"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-12","0.00","D,,S","79","H,,S","94",",,S","63",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-13","0.00","D,,S","83","H,,S","97",",,S","63",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-14","0.00","D,,S","84","H,,S","100",",,S","66",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-15","0.00","D,,S","83","H,,S","100",",,S","66",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-16","0.00","D,,S","82","H,,S","99",",,S","65",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-17","0.00","D,,S","81","H,,S","99",",,S","65",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-18","0.00","D,,S","82","H,,S","98",",,S","66",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-19","0.00","D,,S","84","H,,S","99",",,S","69",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-20","0.00","D,,S","84","H,,S","101",",,S","70",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-21","0.00","D,,S","82","H,,S","96",",,S","66",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-22","0.00","D,,S","80","H,,S","92",",,S","69",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-23","0.00","D,,S","80","H,,S","95",",,S","66",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-24","0.00","D,,S","82","H,,S","96",",,S","70",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-25","0.00","D,,S","83","H,,S","100",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-26","0.00","D,,S","85","H,,S","103",",,S","73",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-27","0.00","D,,S","84","H,,S","100",",,S","72",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-28","0.00","D,,S","85","H,,S","101",",,S","70",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-29","0.00","D,,S","84","H,,S","99",",,S","70",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-30","0.00","D,,S","84","H,,S","100",",,S","69",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-31","0.00","D,,S","83","H,,S","99",",,S","63",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-01","0.00","D,,S","84","H,,S","101",",,S","62",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-02","0.00","D,,S","86","H,,S","104",",,S","65",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-03","0.00","D,,S","89","H,,S","105",",,S","65",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-04","0.00","D,,S","90","H,,S","106",",,S","67",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-05","0.00","D,,S","91","H,,S","108",",,S","69",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-06","0.00","D,,S","91","H,,S","108",",,S","71",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-07","0.00","D,,S","87","H,,S","102",",,S","74",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-08","0.00","D,,S","82","H,,S","97",",,S","71",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-09","0.00","D,,S","81","H,,S","96",",,S","66",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-10","0.00","D,,S","79","H,,S","95",",,S","64",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-11","0.00","D,,S","82","H,,S","99",",,S","59",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-12","0.00","D,,S","86","H,,S","103",",,S","62",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-13","0.00","D,,S","88","H,,S","106",",,S","67",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-14","0.00","D,,S","88","H,,S","105",",,S","71",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-15","0.00","D,,S","88","H,,S","103",",,S","72",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-16","0.00","D,,S","89","H,,S","103",",,S","72",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-17","0.00","D,,S","89","H,,S","106",",,S","72",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-18","0.00","D,,S","89","H,,S","106",",,S","74",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-19","0.00","D,,S","89","H,,S","105",",,S","71",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-20","0.00","D,,S","90","H,,S","106",",,S","73",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-21","0.00","D,,S","90","H,,S","105",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-22","0.00","D,,S","89","H,,S","104",",,S","76",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-23","0.00","D,,S","89","H,,S","104",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-24","0.00","D,,S","88","H,,S","103",",,S","76",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-25","0.00","D,,S","88","H,,S","105",",,S","74",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-26","0.00","D,,S","88","H,,S","105",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-27","0.00","D,,S","90","H,,S","108",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-28","0.00","D,,S","90","H,,S","107",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-29","0.00","D,,S","89","H,,S","105",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-04-30","0.00","D,,S","89","H,,S","105",",,S","77",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-01","0.00","D,,S","89","H,,S","105",",,S","77",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-02","0.00","D,,S","89","H,,S","103",",,S","77",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-03",,,"86","H,,S","103",",,S","77",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-04","0.00","D,,S","85","H,,S","98",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-05","0.00","D,,S","87","H,,S","100",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-06","0.00","D,,S","88","H,,S","103",",,S","76",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-07","0.00","D,,S","88","H,,S","104",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-08","0.00","D,,S","89","H,,S","103",",,S","78",",,S"
